2018/10/07 14:02:00	|	process pid: 1988  	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/07 14:02:01	|	process pid: 1988  	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/07 14:02:10	|	process pid: 1988  	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/07 14:02:11	|	process pid: 1988  	|	    4 attempt	|	    0 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/07 14:02:18	|	process pid: 1988  	|	    5 attempt	|	    0 successful click	|	    0 timeout	|	     5 recaptcha 	|	    0 error
2018/10/07 14:02:23	|	process pid: 1988  	|	    7 attempt	|	    0 successful click	|	    0 timeout	|	     6 recaptcha 	|	    0 error
2018/10/07 14:02:32	|	process pid: 1988  	|	    8 attempt	|	    0 successful click	|	    0 timeout	|	     7 recaptcha 	|	    0 error
2018/10/07 14:02:43	|	process pid: 1988  	|	    9 attempt	|	    0 successful click	|	    0 timeout	|	     8 recaptcha 	|	    0 error
2018/10/07 14:02:45	|	process pid: 1988  	|	    9 attempt	|	    1 successful click	|	    0 timeout	|	     8 recaptcha 	|	    0 error
2018/10/07 14:02:52	|	process pid: 1988  	|	   10 attempt	|	    1 successful click	|	    0 timeout	|	     9 recaptcha 	|	    0 error
2018/10/07 14:02:58	|	process pid: 1988  	|	   12 attempt	|	    1 successful click	|	    0 timeout	|	    10 recaptcha 	|	    0 error
2018/10/07 14:03:01	|	process pid: 1988  	|	   12 attempt	|	    1 successful click	|	    0 timeout	|	    11 recaptcha 	|	    0 error
2018/10/07 14:03:08	|	process pid: 1988  	|	   14 attempt	|	    1 successful click	|	    0 timeout	|	    12 recaptcha 	|	    0 error
2018/10/07 14:03:10	|	process pid: 1988  	|	   14 attempt	|	    1 successful click	|	    0 timeout	|	    13 recaptcha 	|	    0 error
2018/10/07 14:03:29	|	process pid: 1988  	|	   16 attempt	|	    2 successful click	|	    0 timeout	|	    13 recaptcha 	|	    0 error
2018/10/07 14:03:37	|	process pid: 1988  	|	   16 attempt	|	    3 successful click	|	    0 timeout	|	    13 recaptcha 	|	    0 error
2018/10/07 14:03:43	|	process pid: 1988  	|	   17 attempt	|	    3 successful click	|	    0 timeout	|	    14 recaptcha 	|	    0 error
